videoID,start,end,Category,classification-llm-output,match
-5PXP0nNsSs,1:04,1:08,empathetic,empathetic,hit
-XZtzSYuz4Y,0:24,0:47,anti-empathetic,empathetic,miss
-XZtzSYuz4Y,1:40,1:48,anti-empathetic,empathetic,miss
-kfUE41-JFw,0:11,0:23,empathetic,neutral,near-miss
-kfUE41-JFw,0:38,0:40,empathetic,neutral,near-miss
-kfUE41-JFw,0:42,0:50,empathetic,neutral,near-miss
-kfUE41-JFw,0:51,0:54,empathetic,neutral,near-miss
-kfUE41-JFw,0:55,1:05,empathetic,empathetic,hit
-kfUE41-JFw,1:36,1:43,empathetic,neutral,near-miss
-kfUE41-JFw,1:44,1:55,empathetic,neutral,near-miss
-kfUE41-JFw,2:10,2:20,empathetic,empathetic,hit
-kfUE41-JFw,2:38,2:44,empathetic,empathetic,hit
-kfUE41-JFw,3:21,3:33,empathetic,empathetic,hit
-kfUE41-JFw,3:34,3:43,empathetic,empathetic,hit
-kfUE41-JFw,3:52,3:56,empathetic,neutral,near-miss
-kfUE41-JFw,3:57,4:10,empathetic,empathetic,hit
0766jUAtaU8,2:43,2:45,empathetic,neutral,near-miss
0766jUAtaU8,4:04,4:08,empathetic,neutral,near-miss
0766jUAtaU8,4:55,4:58,empathetic,empathetic,hit
0SEGAK-wRLs,2:52,3:00,empathetic,empathetic,hit
1u4sXGhTh5o,1:33,1:36,anti-empathetic,anti-empathetic,hit
2-IXhfmO0ok,0:04,0:07,,neutral,miss
2-IXhfmO0ok,1:08,1:09,,neutral,miss
2-IXhfmO0ok,4:49,5:00,,empathetic,miss
54lhYj83zro,0:33,0:45,empathetic,empathetic,hit
5xyzxCPjQbs,0:30,0:33,anti-empathetic,neutral,near-miss
5xyzxCPjQbs,1:14,1:16,anti-empathetic,neutral,near-miss
5xyzxCPjQbs,1:20,1:22,anti-empathetic,neutral,near-miss
5xyzxCPjQbs,1:25,1:30,anti-empathetic,anti-empathetic,hit
5xyzxCPjQbs,1:57,2:01,anti-empathetic,neutral,near-miss
64s5r-Fu5E0,0:52,0:53,empathetic,neutral,near-miss
64s5r-Fu5E0,1:04,1:19,empathetic,empathetic,hit
64s5r-Fu5E0,1:49,1:51,empathetic,neutral,near-miss
64s5r-Fu5E0,1:56,2:00,empathetic,empathetic,hit
64s5r-Fu5E0,2:04,2:11,empathetic,empathetic,hit
72xuFXTTa74,1:17,1:43,empathetic,empathetic,hit
72xuFXTTa74,3:45,4:04,empathetic,empathetic,hit
72xuFXTTa74,8:52,9:04,empathetic,empathetic,hit
72xuFXTTa74,9:20,9:38,empathetic,empathetic,hit
7LD8iC4NqXM,1:30,1:50,empathetic,empathetic,hit
7LD8iC4NqXM,4:46,4:55,empathetic,empathetic,hit
7LD8iC4NqXM,9:18,9:28,empathetic,empathetic,hit
7PV9Yp34awQ,1:28,1:34,empathetic,empathetic,hit
7PV9Yp34awQ,1:45,1:48,empathetic,neutral,near-miss
7PV9Yp34awQ,6:01,6:06,empathetic,empathetic,hit
7PV9Yp34awQ,7:56,8:08,empathetic,empathetic,hit
7hFAv8z8xmw,0:45,0:48,anti-empathetic,empathetic,miss
7hFAv8z8xmw,4:07,4:12,empathetic,empathetic,hit
7jrulgnbMHc,39:54,40:03,empathetic,empathetic,hit
7xfyN-yBZ7c,1:10,1:38,empathetic,empathetic,hit
Azt8SRgwBJ8,17:34,17:50,empathetic,empathetic,hit
Azt8SRgwBJ8,4:59,5:09,empathetic,empathetic,hit
Azt8SRgwBJ8,6:20,6:32,empathetic,empathetic,hit
Azt8SRgwBJ8,8:00,8:16,empathetic,empathetic,hit
BDlBjJkRscg,0:23,0:25,empathetic,neutral,near-miss
BDlBjJkRscg,0:29,0:31,empathetic,neutral,near-miss
BDlBjJkRscg,0:35,0:38,empathetic,neutral,near-miss
BDlBjJkRscg,0:40,0:56,empathetic,empathetic,hit
BDlBjJkRscg,1:06,1:07,empathetic,neutral,near-miss
BDlBjJkRscg,1:10,1:17,empathetic,empathetic,hit
BDlBjJkRscg,1:48,1:55,empathetic,empathetic,hit
BDlBjJkRscg,2:07,2:14,empathetic,empathetic,hit
BDlBjJkRscg,2:24,2:33,empathetic,empathetic,hit
Bgr6TXWknQQ,0:10,0:14,empathetic,empathetic,hit
Bgr6TXWknQQ,0:23,0:35,empathetic,empathetic,hit
Bgr6TXWknQQ,0:59,1:17,empathetic,empathetic,hit
Bgr6TXWknQQ,1:28,1:34,empathetic,empathetic,hit
BjUCF_Z146c,0:05,0:10,empathetic,empathetic,hit
BoEY6KsSJbY,0:19,0:28,empathetic,empathetic,hit
BoEY6KsSJbY,0:56,0:58,empathetic,empathetic,hit
BoEY6KsSJbY,1:21,1:23,empathetic,neutral,near-miss
BoEY6KsSJbY,1:24,1:26,empathetic,neutral,near-miss
BoEY6KsSJbY,1:33,1:39,empathetic,empathetic,hit
D96J4RS-eDY,0:57,1:08,empathetic,empathetic,hit
EcYzT0OxqVA,1:48,1:55,,neutral,miss
MKl8s0EO5T4,0:14,0:18,anti-empathetic,empathetic,miss
MKl8s0EO5T4,0:44,0:52,anti-empathetic,neutral,near-miss
Mab-avaKQZo,2:30,2:35,empathetic,empathetic,hit
Mab-avaKQZo,3:11,3:26,empathetic,empathetic,hit
MzoZOq8aCdA,0:54,1:01,empathetic,empathetic,hit
MzoZOq8aCdA,1:23,1:28,empathetic,neutral,near-miss
MzoZOq8aCdA,1:44,1:51,empathetic,empathetic,hit
MzoZOq8aCdA,2:11,2:18,empathetic,neutral,near-miss
MzoZOq8aCdA,2:19,2:25,empathetic,empathetic,hit
MzoZOq8aCdA,2:57,2:59,empathetic,empathetic,hit
MzoZOq8aCdA,3:25,3:33,empathetic,neutral,near-miss
MzoZOq8aCdA,3:54,4:00,empathetic,empathetic,hit
MzoZOq8aCdA,5:17,5:22,empathetic,neutral,near-miss
MzoZOq8aCdA,5:22,5:30,empathetic,neutral,near-miss
MzoZOq8aCdA,5:37,5:43,empathetic,empathetic,hit
NGEvASSaPyg,0:25,0:40,empathetic,empathetic,hit
NGEvASSaPyg,2:04,2:23,empathetic,neutral,near-miss
NGEvASSaPyg,3:26,3:32,empathetic,neutral,near-miss
NGEvASSaPyg,8:01,8:11,empathetic,empathetic,hit
NJh_5ayj33w,0:15,0:37,anti-empathetic,empathetic,miss
NMpEzpSwy0k,10:10,10:28,empathetic,empathetic,hit
NMpEzpSwy0k,6:04,6:18,empathetic,empathetic,hit
NZyk1NGs248,15:04,15:09,empathetic,neutral,near-miss
NdOafiacgBA,5:26,5:32,empathetic,empathetic,hit
OdRE4b_3Pmo,17:43,18:07,empathetic,empathetic,hit
TUBWf9SgyD0,3:54,3:58,empathetic,empathetic,hit
Tl9KT9RwiGc,2:45,2:48,empathetic,empathetic,hit
Tl9KT9RwiGc,3:48,4:05,empathetic,empathetic,hit
U91AUYttTyc,0:49,0:53,empathetic,neutral,near-miss
U91AUYttTyc,0:54,0:56,empathetic,neutral,near-miss
U91AUYttTyc,0:56,0:59,empathetic,neutral,near-miss
USWXF1XW2zo,0:28,0:35,empathetic,empathetic,hit
USWXF1XW2zo,0:36,0:42,empathetic,empathetic,hit
USWXF1XW2zo,2:41,2:51,empathetic,empathetic,hit
UbBcavubChE,0:09,0:10,,neutral,miss
UbBcavubChE,0:16,0:19,,empathetic,miss
UbBcavubChE,0:35,0:38,,neutral,miss
UbBcavubChE,0:46,0:48,,neutral,miss
UgDGSOvfxHs,10:46,11:17,empathetic,empathetic,hit
UgDGSOvfxHs,12:45,12:47,empathetic,empathetic,hit
UgDGSOvfxHs,12:55,13:02,empathetic,empathetic,hit
UgDGSOvfxHs,13:21,13:36,empathetic,empathetic,hit
UgDGSOvfxHs,2:11,2:14,empathetic,neutral,near-miss
UgDGSOvfxHs,4:31,4:34,empathetic,empathetic,hit
UgDGSOvfxHs,6:45,6:59,empathetic,empathetic,hit
UgDGSOvfxHs,8:16,8:25,empathetic,empathetic,hit
VQ440xOiyho,0:42,0:48,anti-empathetic,empathetic,miss
VXDTmAYsFxQ,1:42,1:59,empathetic,empathetic,hit
VXDTmAYsFxQ,8:53,9:09,empathetic,empathetic,hit
Vc-ytfaIn90,2:05,2:13,anti-empathetic,empathetic,miss
coBacvZxErI,0:26,0:33,empathetic,empathetic,hit
coBacvZxErI,0:35,0:45,empathetic,empathetic,hit
coBacvZxErI,0:36,0:41,empathetic,empathetic,hit
dGpk4PgWT7U,1:39,1:55,empathetic,empathetic,hit
dGpk4PgWT7U,13:46,13:52,empathetic,neutral,near-miss
dGpk4PgWT7U,14:00,14:04,empathetic,empathetic,hit
dGpk4PgWT7U,15:06,15:22,empathetic,empathetic,hit
dGpk4PgWT7U,16:41,16:57,empathetic,empathetic,hit
dGpk4PgWT7U,17:07,17:16,empathetic,empathetic,hit
dGpk4PgWT7U,19:37,19:39,empathetic,neutral,near-miss
dGpk4PgWT7U,5:58,6:01,empathetic,empathetic,hit
dGpk4PgWT7U,6:06,6:16,empathetic,empathetic,hit
dGpk4PgWT7U,6:18,6:30,empathetic,empathetic,hit
dpB1MB-0vuc,0:16,0:18,empathetic,neutral,near-miss
dpB1MB-0vuc,1:19,1:24,empathetic,neutral,near-miss
eQAxqBSnvrw,0:36,0:40,empathetic,empathetic,hit
eQAxqBSnvrw,2:36,3:12,empathetic,empathetic,hit
eq3-F_738gA,0:53,1:09,empathetic,empathetic,hit
fKy7ljRr0AA,5:36,5:43,empathetic,empathetic,hit
g-aNdq_-qsc,1:38,1:49,empathetic,empathetic,hit
gMNsMdnSBIk,2:19,2:22,empathetic,empathetic,hit
gMNsMdnSBIk,2:32,2:36,empathetic,empathetic,hit
iHVTqhJo1KE,0:35,0:40,empathetic,neutral,near-miss
p5LmDlzExlU,3:58,4:06,empathetic,empathetic,hit
0766jUAtaU8,2:59,3:04,empathetic,empathetic,hit
0766jUAtaU8,4:18,4:23,empathetic,empathetic,hit
0SEGAK-wRLs,0:18,0:20,empathetic,neutral,near-miss
0SEGAK-wRLs,5:22,5:36,empathetic,empathetic,hit
1u4sXGhTh5o,6:32,6:38,anti-empathetic,empathetic,miss
1yXPxaO9Xcs,1:02,1:06,empathetic,neutral,near-miss
