videoID,start,end,Category,classification-llm-output,match
-5PXP0nNsSs,1:04,1:08,empathetic,neutral,near-miss
-XZtzSYuz4Y,0:24,0:47,anti-empathetic,anti-empathetic,hit
-XZtzSYuz4Y,1:40,1:48,anti-empathetic,anti-empathetic,hit
-kfUE41-JFw,0:11,0:23,empathetic,empathetic,hit
-kfUE41-JFw,0:38,0:40,empathetic,neutral,near-miss
-kfUE41-JFw,0:42,0:50,empathetic,empathetic,hit
-kfUE41-JFw,0:51,0:54,empathetic,NO_RESPONSE,miss
-kfUE41-JFw,0:55,1:05,empathetic,empathetic,hit
-kfUE41-JFw,1:36,1:43,empathetic,neutral,near-miss
-kfUE41-JFw,1:44,1:55,empathetic,neutral,near-miss
-kfUE41-JFw,2:10,2:20,empathetic,neutral,near-miss
-kfUE41-JFw,2:38,2:44,empathetic,empathetic,hit
-kfUE41-JFw,3:21,3:33,empathetic,empathetic,hit
-kfUE41-JFw,3:34,3:43,empathetic,empathetic,hit
-kfUE41-JFw,3:52,3:56,empathetic,neutral,near-miss
-kfUE41-JFw,3:57,4:10,empathetic,empathetic,hit
0766jUAtaU8,2:43,2:45,empathetic,neutral,near-miss
0766jUAtaU8,2:59,3:04,empathetic,NO_RESPONSE,miss
0766jUAtaU8,4:04,4:08,empathetic,neutral,near-miss
0766jUAtaU8,4:18,4:23,empathetic,empathetic,hit
0766jUAtaU8,4:55,4:58,empathetic,neutral,near-miss
0SEGAK-wRLs,0:18,0:20,empathetic,neutral,near-miss
0SEGAK-wRLs,2:52,3:00,empathetic,empathetic,hit
0SEGAK-wRLs,5:22,5:36,empathetic,empathetic,hit
1u4sXGhTh5o,1:33,1:36,anti-empathetic,anti-empathetic,hit
1u4sXGhTh5o,6:32,6:38,anti-empathetic,neutral,near-miss
1yXPxaO9Xcs,1:02,1:06,empathetic,neutral,near-miss
1yXPxaO9Xcs,1:16,1:22,empathetic,NO_RESPONSE,miss
1yXPxaO9Xcs,11:02,11:05,empathetic,neutral,near-miss
2-IXhfmO0ok,0:04,0:07,,neutral,miss
2-IXhfmO0ok,1:00,1:03,,empathetic,miss
2-IXhfmO0ok,1:08,1:09,,neutral,miss
2-IXhfmO0ok,1:27,1:30,,empathetic,miss
2-IXhfmO0ok,1:37,1:39,,NO_RESPONSE,miss
2-IXhfmO0ok,2:23,2:40,,empathetic,miss
2-IXhfmO0ok,4:49,5:00,,neutral,miss
3_dAkDsBQyk,0:54,0:56,anti-empathetic,empathetic,near-miss
3_dAkDsBQyk,1:01,1:04,anti-empathetic,neutral,near-miss
3_dAkDsBQyk,1:22,1:25,anti-empathetic,neutral,near-miss
3_dAkDsBQyk,1:42,1:46,anti-empathetic,neutral,near-miss
3muGuDL1qaM,0:50,1:07,empathetic,NO_RESPONSE,miss
3muGuDL1qaM,1:07,1:15,empathetic,empathetic,hit
3muGuDL1qaM,1:19,1:35,empathetic,empathetic,hit
3muGuDL1qaM,2:09,2:21,empathetic,empathetic,hit
3muGuDL1qaM,2:55,3:30,empathetic,empathetic,hit
4HrOmh_rTcU,0:28,0:42,empathetic,anti-empathetic,near-miss
4HrOmh_rTcU,0:42,0:53,empathetic,neutral,near-miss
4HrOmh_rTcU,1:03,1:15,empathetic,anti-empathetic,near-miss
4Jl6zk4csA8,1:15,1:25,empathetic,empathetic,hit
4Jl6zk4csA8,2:24,2:34,empathetic,empathetic,hit
4Jl6zk4csA8,2:34,2:51,empathetic,neutral,near-miss
4Jl6zk4csA8,2:51,3:14,empathetic,empathetic,hit
4VOubVB4CTU,1:05,1:12,empathetic,empathetic,hit
4VOubVB4CTU,1:14,1:18,empathetic,empathetic,hit
4VOubVB4CTU,1:21,1:30,empathetic,neutral,near-miss
4ZnQdxpZteM,2:32,2:44,empathetic,anti-empathetic,near-miss
4ZnQdxpZteM,2:57,3:03,empathetic,anti-empathetic,near-miss
4ZnQdxpZteM,5:29,5:42,empathetic,neutral,near-miss
4wTVbzvBH0k,0:20,0:31,empathetic,empathetic,hit
4wTVbzvBH0k,0:47,0:53,empathetic,empathetic,hit
4wTVbzvBH0k,4:31,4:59,empathetic,empathetic,hit
4wTVbzvBH0k,9:23,9:33,empathetic,empathetic,hit
54lhYj83zro,0:25,0:31,empathetic,neutral,near-miss
54lhYj83zro,0:33,0:45,empathetic,empathetic,hit
54lhYj83zro,0:48,1:04,empathetic,empathetic,hit
54lhYj83zro,1:26,1:49,empathetic,empathetic,hit
54lhYj83zro,1:59,2:03,empathetic,empathetic,hit
54lhYj83zro,2:04,2:20,empathetic,empathetic,hit
54lhYj83zro,2:21,2:30,empathetic,empathetic,hit
54lhYj83zro,2:30,2:53,empathetic,empathetic,hit
5JL2iizK2c0,2:14,2:24,empathetic,empathetic,hit
5JL2iizK2c0,2:43,2:51,empathetic,empathetic,hit
5q0gEn9mysE,2:40,2:42,empathetic,NO_RESPONSE,miss
5q0gEn9mysE,3:52,3:59,empathetic,empathetic,hit
5q0gEn9mysE,4:07,4:10,empathetic,neutral,near-miss
5q0gEn9mysE,4:16,4:21,empathetic,empathetic,hit
5q0gEn9mysE,7:22,7:27,empathetic,empathetic,hit
5q0gEn9mysE,9:21,9:31,empathetic,empathetic,hit
5qArvBdHkJA,0:42,0:46,anti-empathetic,NO_RESPONSE,miss
5qArvBdHkJA,2:06,2:11,anti-empathetic,neutral,near-miss
5qArvBdHkJA,2:39,2:41,anti-empathetic,NO_RESPONSE,miss
5xyzxCPjQbs,0:30,0:33,anti-empathetic,neutral,near-miss
5xyzxCPjQbs,1:14,1:16,anti-empathetic,neutral,near-miss
5xyzxCPjQbs,1:20,1:22,anti-empathetic,neutral,near-miss
5xyzxCPjQbs,1:25,1:30,anti-empathetic,anti-empathetic,hit
5xyzxCPjQbs,1:57,2:01,anti-empathetic,anti-empathetic,hit
64s5r-Fu5E0,0:52,0:53,empathetic,neutral,near-miss
64s5r-Fu5E0,1:04,1:19,empathetic,empathetic,hit
64s5r-Fu5E0,1:49,1:51,empathetic,neutral,near-miss
64s5r-Fu5E0,1:56,2:00,empathetic,anti-empathetic,near-miss
64s5r-Fu5E0,2:04,2:11,empathetic,empathetic,hit
72xuFXTTa74,1:17,1:43,empathetic,empathetic,hit
72xuFXTTa74,3:45,4:04,empathetic,empathetic,hit
72xuFXTTa74,8:52,9:04,empathetic,empathetic,hit
72xuFXTTa74,9:20,9:38,empathetic,empathetic,hit
7LD8iC4NqXM,1:30,1:50,empathetic,empathetic,hit
7LD8iC4NqXM,12:00,12:24,empathetic,empathetic,hit
7LD8iC4NqXM,4:46,4:55,empathetic,empathetic,hit
7LD8iC4NqXM,9:18,9:28,empathetic,empathetic,hit
7PV9Yp34awQ,1:19,1:22,empathetic,neutral,near-miss
7PV9Yp34awQ,1:28,1:34,empathetic,empathetic,hit
7PV9Yp34awQ,1:45,1:48,empathetic,neutral,near-miss
7PV9Yp34awQ,2:06,2:18,empathetic,empathetic,hit
7PV9Yp34awQ,6:01,6:06,empathetic,empathetic,hit
7PV9Yp34awQ,7:56,8:08,empathetic,empathetic,hit
7hFAv8z8xmw,0:45,0:48,anti-empathetic,neutral,near-miss
7hFAv8z8xmw,1:01,1:04,anti-empathetic,neutral,near-miss
7hFAv8z8xmw,3:46,3:47,empathetic,NO_RESPONSE,miss
7hFAv8z8xmw,4:01,4:06,empathetic,anti-empathetic,near-miss
7hFAv8z8xmw,4:07,4:12,empathetic,empathetic,hit
7jrulgnbMHc,29:37,29:42,empathetic,empathetic,hit
