videoID,start,end,notes,Empathy stage,Initial,Gender,neutral segment,isPrimarySpeaker,Category,Empathetic voice (does the voice sound empathetic?),Empathetic text (does what the speaker is saying seem to be empathetic?),Voice/Text Initial,Empathetic voice (2nd round),Empathetic text (2nd round),Voice/Text Initial (2nd round),Empathetic Voice 3,Empathetic Text 3,Third Annotator Initials where needed,Useful 4 Pres.,Notes on empathy stage,transcript,transcript_start,transcript_end
NZyk1NGs248,0:23,0:26,"""Hey we all do""",1,TC,M,0:46-1:03,TRUE,empathetic,x,x,JH,x,x,DT,x,x,EL,,"music, overlapping speakers",want to be loved I just want to be loved hey I can set aside all those ideas or,21.119,31.34
NZyk1NGs248,1:41,1:43,"aknowledge the other's need to one identity to take a rest, followed by the other's response affirming she needs that",3,TC,M,0:46-1:03,TRUE,empathetic,x,x,JH,x,,DT,x,,AJ,,overlapping speakers,Catherine Catherine is here Jamie's gonna take a rest for me thank you so,99.2,107.06
NZyk1NGs248,2:24,2:36,ask question and paraphrasing another's experience,2,TC,M,0:46-1:03,TRUE,empathetic,x,x,JH,x,x,DT,x,x,EL,,overlapping speakers,of a facade than it is a real it was very interesting did you notice your behavior and Katy oh yes my and then Catherine said back in the chair yes so Katie gets a lot of attention doesn't,141.829,160.48
NZyk1NGs248,2:49,3:20,affirm the other's existence,3,TC,M,0:46-1:03,TRUE,empathetic,x,x,JH,x,x,DT,x,x,EL,,two speakers,yes and Katie we're gonna give her some attention today sure is the priestess and and actually a goddess thank you and worked hard on that one yeah and so she's the one that really elevates others and inspires and actually goes into the unconscious and makes things come forth that is there that others don't have the courage to bring forth into the light,168.38,201.85
NZyk1NGs248,3:38,3:43,asking question,2,TC,M,0:46-1:03,TRUE,empathetic,x,x,JH,x,x,DT,x,x,EL,,,acknowledged Express or evolved or evolved talk about that where feelings are not evolved I mean I think Catherine,215.36,227.19
NZyk1NGs248,5:13,5:19,Reframing what the other said,3,TC,M,0:46-1:03,TRUE,empathetic,x,x,JH,x,x,DT,x,x,EL,,,the world so I'm here in Katherine was even underground in your childhood experience maybe my parents I loved and they did,311.25,323.119
NZyk1NGs248,10:23,10:27,Proposing more insights,4,TC,M,0:46-1:03,TRUE,empathetic,x,x,JH,,,DT,,,AJ,,overlapping speakers,doing it okay right successful I'm pretty sure but like you know these are two different presences and also like the,618.55,630.04
NZyk1NGs248,11:24,11:40,offering comfort/affirmation (trying to get other person to recognize positive aspects of their experience),4,TC,M,0:46-1:03,TRUE,empathetic,x,x,JH,x,x,DT,x,x,EL,,music,so your fantasy and your curiosity created this Great Goddess this your fantasy did that your curiosity did that so you must give yourself yes all right,680.9,703.8
NZyk1NGs248,12:18,12:28,rephrasing the problem,4,TC,M,0:46-1:03,TRUE,empathetic,x,x,JH,x,x,DT,x,x,EL,,music,it's not always thick well let's throw the word out there's a dichotomy there's a real conflict between Katie and Katherine you were because look at Katy Perry she's so,733.56,752.65
NZyk1NGs248,12:47,12:53,Proposing new insights in the form of asking questions,4,TC,M,1:32-1:33,TRUE,empathetic,x,x,JH,x,x,DT,,x,EL,,music,to go back there can we say for your fans that you are presenting that you have the formula yeah for sure but,765.46,780.22
